col_s,row_s,proportion_lichen,sqrt_proportion_lichen
6,9,0.9866189999172876,9.93286967556349
7,9,0.6996638986835649,8.36459143463424
8,9,0.7776870910499842,8.818656876474922
9,9,0.9638129387543618,9.817397510309755
10,9,0.834581294792493,9.135542101005791
11,9,0.7009661193366011,8.372371941908703
12,9,0.7197474425578548,8.483793034709503
13,9,0.9051658380127008,9.514020380536826
14,9,0.7220859373925324,8.497563988535376
15,9,0.8098391023848062,8.999106079965978
16,9,0.8375708999536886,9.151889968491146
17,9,0.9038924475787408,9.507325846833803
18,9,0.8286204256060599,9.102859032227512
19,9,1.0,10.0
20,9,0.986531692567847,9.932430178802402
21,9,0.7402299061392368,8.60366146555777
22,9,0.9765233459734328,9.881919580594818
23,9,0.9997432240965844,9.998716038055008
24,9,,
25,9,,
26,9,,
27,9,,
28,9,,
29,9,,
30,9,,
31,9,,
32,9,,
33,9,,
34,9,,
35,9,,
36,9,,
37,9,,
0,10,,
1,10,0.7705065363223271,8.77785017143906
2,10,0.7857021674637419,8.863984247863609
3,10,0.9233340516944916,9.609027274883195
4,10,0.6538660821958008,8.086198626028184
5,10,0.9888485893373806,9.94408663144776
6,10,0.9772081866723034,9.88538409305528
7,10,0.7382353076037764,8.592062078475553
8,10,0.999853270912334,9.999266327647915
9,10,0.9515243776623306,9.7546111027674
10,10,0.917611617275516,9.57920465005063
11,10,0.69141038750235,8.315109064241732
12,10,0.6562137475984575,8.100702115239503
13,10,0.9554456810432768,9.774690179454677
14,10,0.6735277799430508,8.206873825903813
15,10,0.5837295782914315,7.640219750055828
16,10,0.6590016002641124,8.117891353449567
17,10,0.4830734241525249,6.950348366467144
18,10,0.8066110624561532,8.981152834999264
19,10,0.9906093383893732,9.952935940662801
20,10,0.8067245039564015,8.981784365906373
21,10,0.9890916093888276,9.94530848887468
22,10,0.9264520448073952,9.625237892163472
23,10,0.9859140075840596,9.929320256614043
24,10,0.8450540834246569,9.192682325766821
25,10,0.7758071246142629,8.807991397669863
26,10,,
27,10,,
28,10,,
29,10,,
30,10,,
31,10,,
32,10,,
33,10,,
34,10,,
35,10,,
36,10,,
37,10,,
0,11,,
1,11,0.8660225871089325,9.306033457434658
2,11,0.9445134784422872,9.71860832857404
3,11,0.9766700750610988,9.882661964577656
4,11,0.8777746699741849,9.368962962751986
5,11,0.8210684628752482,9.06128281688221
6,11,0.8041466395860712,8.967422369812137
7,11,0.735507063629986,8.576170845021606
8,11,1.0,10.0
9,11,0.9781373659377594,9.890082739480794
10,11,0.8023329924938901,8.95730424008189
11,11,0.7621750753132895,8.730263886694889
12,11,0.9031588021404106,9.503466747142385
13,11,1.0,10.0
14,11,0.8102792896478044,9.001551475428025
15,11,0.5825557455901031,7.632533954003108
16,11,1.0,10.0
17,11,0.8380110872166867,9.154294550737848
18,11,0.9236183393018448,9.610506434636235
19,11,0.904121711778219,9.50853149428564
20,11,0.8163420977658509,9.03516517705045
21,11,0.9506623442722923,9.750191507207909
22,11,0.6415775211037695,8.0098534387576
23,11,0.973148576957114,9.864829329274349
24,11,0.9885551311620484,9.942610980834202
25,11,0.8358926860135083,9.14271669698623
26,11,0.9472417224160778,9.732634393709022
27,11,0.9011680804330444,9.4929873087087
28,11,0.3336573600685958,5.776308164118287
29,11,,
30,11,,
31,11,,
32,11,,
33,11,,
34,11,,
35,11,,
36,11,,
37,11,,
0,12,,
1,12,0.7207699608875275,8.489817199960948
2,12,0.8104489451554182,9.00249379425178
3,12,0.9483513611415524,9.73833333348963
4,12,0.9718280151681196,9.858133774544346
5,12,0.9815809142139218,9.907476541551445
6,12,0.8658867210116624,9.30530343949977
7,12,0.6973850125407517,8.350958103958801
8,12,0.7927726753756494,8.903778273158252
9,12,0.8032821462797298,8.962600885232645
10,12,0.7407342873780888,8.606592167507932
11,12,0.896551407911449,9.468639859617902
12,12,0.9118158183127072,9.548904745114527
13,12,0.8066371966069606,8.981298328231619
14,12,0.9314775160599572,9.65130828468326
15,12,0.7892970301115599,8.884239022626305
16,12,0.9678663298011362,9.838019769247957
17,12,0.9553943573495224,9.77442764232015
18,12,0.762968329443484,8.734805833236845
19,12,0.9202435702855256,9.592932660482537
20,12,0.879423955298637,9.377760688451358
21,12,0.9903342213499992,9.951553754816375
22,12,0.8376992879053964,9.152591370237154
23,12,0.967426142538138,9.835782340709548
24,12,0.9879682148113844,9.939659022377903
25,12,0.9533126384182604,9.763773033096685
26,12,0.8846984487984263,9.405840998009834
27,12,1.0,10.0
28,12,0.9179325871547854,9.580879850800684
29,12,0.5920426981645108,7.694431091149695
30,12,0.8780176900256318,9.370259815104552
31,12,0.7739867668704061,8.797651771185343
32,12,0.7120670918753353,8.438406792015513
33,12,0.8520512267927314,9.230662093223494
34,12,0.9285228515499352,9.63598905950985
35,12,0.888582184337587,9.426463728979106
36,12,,
37,12,,
0,13,,
1,13,,
2,13,0.8087509534881584,8.993058175549397
3,13,0.9976472966887538,9.988229556276497
4,13,0.8414866144047937,9.17325795126679
5,13,0.8445929179954232,9.190173654482397
6,13,0.8392123634622115,9.160853472587647
7,13,0.9291248127487112,9.639112058424837
8,13,0.9828418082730608,9.91383784552209
9,13,0.7313047394105375,8.551635746513865
10,13,0.8736892409774747,9.347134539405511
11,13,0.7307625148192738,8.548464861127252
12,13,0.928775583350948,9.637300365511848
13,13,0.8817255797675404,9.390024386376961
14,13,0.9822076812087012,9.91063913785938
15,13,0.7991379548023637,8.939451631964703
16,13,1.0,10.0
17,13,0.9658858019869314,9.827948931424762
18,13,0.9182067989449596,9.582310780521365
19,13,0.8944591998970692,9.457585314957878
20,13,0.8726813903369006,9.341741755887393
21,13,0.972484399555192,9.861462363945785
22,13,0.9882548639383886,9.94110086428253
23,13,0.8845704937919879,9.40516078433531
24,13,0.952945933775078,9.761894968575916
25,13,0.9353925614138277,9.671569476635256
26,13,0.8343366019979598,9.134202767609004
27,13,1.0,10.0
28,13,1.0,10.0
29,13,0.8258999549677882,9.087903801030182
30,13,1.0,10.0
31,13,0.968973725082942,9.84364630146239
32,13,0.9672091975995074,9.834679443680447
33,13,0.9744143514901986,9.871242837101105
34,13,0.9432665917589198,9.712191265409263
35,13,0.8933931312091609,9.451947583483316
36,13,0.7444376028158918,8.628079756329862
37,13,,
0,14,,
1,14,,
2,14,0.6720054656585156,8.197593949803293
3,14,0.9286896633943024,9.63685458743828
4,14,0.6477034605138269,8.048002612535777
5,14,0.8098207612488479,8.999004174067528
6,14,0.7879809945685639,8.876829358327015
7,14,0.8239250948007465,9.077031975270035
8,14,0.918790035260834,9.585353594212547
9,14,0.6285507292894186,7.928119129335902
10,14,0.7577502762633603,8.70488527358839
11,14,0.8899531842504665,9.433733005817297
12,14,0.7230305058943826,8.503120050277913
13,14,0.7310014612493222,8.549862345379148
14,14,0.8132138714011252,9.017837165313672
15,14,0.8391849199180151,9.160703684313859
16,14,0.9718280151681196,9.858133774544346
17,14,0.9050662802800692,9.513497150260093
18,14,0.9109721260586274,9.544485979132807
19,14,0.9179417577227644,9.580927709375352
20,14,0.875894900331768,9.358925687982397
21,14,0.9577420227521792,9.786429495746543
22,14,0.9768168041487648,9.883404292796914
23,14,0.8767475663605225,9.363479942630958
24,14,0.9718280151681196,9.858133774544346
25,14,0.980631760428082,9.902685294545526
26,14,0.9812186767787464,9.905648271459807
27,14,0.9821663250958084,9.91043049062859
28,14,0.9946122913122624,9.973025074230298
29,14,0.9055064675430672,9.515810357205881
30,14,1.0,10.0
31,14,1.0,10.0
32,14,0.9906093383893732,9.952935940662801
33,14,1.0,10.0
34,14,1.0,10.0
35,14,0.9680130588888024,9.838765465691326
36,14,0.6136623121753045,7.833660141819433
37,14,,
0,15,,
1,15,,
2,15,,
3,15,0.8117465805244648,9.009698000068951
4,15,0.860992530572381,9.278968318581441
5,15,0.918913837928552,9.58599936328264
6,15,0.4528494361783275,6.729408860950028
7,15,0.5978155707073718,7.731853404633147
8,15,0.5132124958159283,7.163885089921029
9,15,0.82988137870319,9.109782536939013
10,15,0.8287029607178721,9.10331236813212
11,15,0.9924342814172196,9.96209958501329
12,15,0.9624373535574926,9.810389154144154
13,15,0.95765134039757,9.785966178142912
14,15,0.884670937094489,9.40569474889808
15,15,0.6771960071347018,8.229191984239412
16,15,0.8931812241791195,9.450826546811234
17,15,0.9388139704432594,9.689241303854804
18,15,0.9502588392812108,9.748122071872155
19,15,0.9386672413555932,9.68848409894754
20,15,0.9454191212285522,9.723266535627584
21,15,0.9994405953532732,9.997202585489969
22,15,0.9829794258307388,9.914531889255986
23,15,0.8406522107946756,9.168708801105398
24,15,0.967132684362806,9.83429043888173
25,15,0.9996882006887096,9.998440881901086
26,15,0.999724882960626,9.998624320178381
27,15,0.8998400896968137,9.485990141765981
28,15,0.9904855357216548,9.952313980786855
29,15,1.0,10.0
30,15,0.9859140075840596,9.929320256614043
31,15,1.0,10.0
32,15,1.0,10.0
33,15,1.0,10.0
34,15,1.0,10.0
35,15,0.9815121349540784,9.907129427609586
36,15,0.707128741018575,8.409094725465845
37,15,,
0,16,,
1,16,,
2,16,,
3,16,0.7710292586971375,8.780827174572664
4,16,0.5217181976165693,7.223006282819982
5,16,0.6896129561784409,8.304293806088756
6,16,0.8570732738417991,9.257825197322529
7,16,0.7880956857062942,8.877475348917024
8,16,0.3807436413574275,6.170442782794663
9,16,0.7174685564150416,8.470351565401767
10,16,0.8753628105956742,9.356082570155493
11,16,0.9491675416916948,9.742522987869696
12,16,0.9003709494747557,9.48878785448782
13,16,0.7984027350175993,8.935338465987728
14,16,0.7245895024508343,8.512282317045377
15,16,0.9137232964523658,9.558887469012102
16,16,0.8661830720485674,9.306895680346736
17,16,0.907854132945724,9.528137976256033
18,16,0.9906093383893732,9.952935940662801
19,16,1.0,10.0
20,16,0.9856172629605464,9.927825859474703
21,16,0.9873537867567828,9.936567751274998
22,16,0.9906093383893732,9.952935940662801
23,16,0.8350765054633659,9.13825205093056
24,16,0.8435867925479965,9.184698103628646
25,16,0.943380913296865,9.712779794151956
26,16,0.9502725951331796,9.748192628037156
27,16,0.8271084724889947,9.0945504148858
28,16,0.992892809816176,9.964400683514167
29,16,0.9844467167073992,9.921928828143242
30,16,1.0,10.0
31,16,1.0,10.0
32,16,1.0,10.0
33,16,1.0,10.0
34,16,1.0,10.0
35,16,0.8984634713350972,9.47873130400423
36,16,,
37,16,,
0,17,,
1,17,,
2,17,,
3,17,,
4,17,0.6697495059356501,8.183822492794246
5,17,0.960456510874001,9.800288316544576
6,17,0.910597274172648,9.542522067947488
7,17,0.8710526436454842,9.333020109511628
8,17,0.5545992691057321,7.447142197552911
9,17,0.7507760593152337,8.664733459923818
10,17,0.9213715501469584,9.598810083270521
11,17,0.8127370018662106,9.015192742621815
12,17,0.9391074286185916,9.690755536172562
13,17,0.8822177904807418,9.392644944214286
14,17,0.8867985088656466,9.416997976349187
15,17,0.6741513785656315,8.210672192735693
16,17,0.978174048209676,9.890268187514815
17,17,0.8847076193664054,9.405889747208423
18,17,0.9442062644149866,9.717027654663676
19,17,1.0,10.0
20,17,0.9894128350993924,9.946923318792562
21,17,0.9906093383893732,9.952935940662801
22,17,1.0,10.0
23,17,0.901398053088418,9.494198507975373
24,17,0.9906093383893732,9.952935940662801
25,17,1.0,10.0
26,17,0.9644594637968904,9.820689709979083
27,17,0.8672514727371313,9.312633745279213
28,17,1.0,10.0
29,17,0.924434519851987,9.614751790098312
30,17,0.9925168165290316,9.962513821967985
31,17,0.9906093383893732,9.952935940662801
32,17,1.0,10.0
33,17,1.0,10.0
34,17,1.0,10.0
35,17,0.934265368725612,9.6657403685678
36,17,,
37,17,,
0,18,,
1,18,,
2,18,,
3,18,,
4,18,0.7051158013471565,8.397117370545422
5,18,0.7820339402720907,8.843268288772487
6,18,0.82854674619294,9.102454318440385
7,18,0.9515794010702052,9.754893136627409
8,18,0.6668011683303605,8.165789418852047
9,18,0.7273544286965413,8.528507657829365
10,18,0.8927181104961736,9.448376106486096
11,18,0.6952666113375732,8.338264875485626
12,18,0.7300184786944779,8.544111883013224
13,18,0.8700131420536527,9.327449501625043
14,18,0.6559936539669584,8.099343516402786
15,18,0.7959777888843546,8.921758732920066
16,18,0.8435455249920903,9.18447344703054
17,18,0.9097616110853826,9.538142434905145
18,18,0.7175831885147806,8.47102820509282
19,18,0.8820298135165001,9.39164423046625
20,18,0.7807574601832535,8.836048099593242
21,18,1.0,10.0
22,18,0.9832728840060708,9.91601171845854
23,18,0.9838598003567351,9.918970714528474
24,18,1.0,10.0
25,18,0.9584756681905092,9.790177057594562
26,18,1.0,10.0
27,18,1.0,10.0
28,18,0.9960383146330168,9.980171915518374
29,18,0.9906093383893732,9.952935940662801
30,18,1.0,10.0
31,18,0.98664765302239,9.933013908287807
32,18,1.0,10.0
33,18,1.0,10.0
34,18,1.0,10.0
35,18,1.0,10.0
36,18,,
37,18,,
0,19,,
1,19,,
2,19,,
3,19,,
4,19,0.7097927910165116,8.42492012434843
5,19,0.9415467997010396,9.703333446301016
6,19,1.0,10.0
7,19,0.9389606995309254,9.689998449591855
8,19,0.6794565521415569,8.24291545596312
9,19,0.6037718546098153,7.770275764796351
10,19,0.8422433043390543,9.177381458450194
11,19,0.9138929519599795,9.559774850695907
12,19,0.894795244143446,9.459361733983144
13,19,0.8825118783946476,9.394210336130694
14,19,0.8807092517275057,9.384611082658171
15,19,0.8153001756163768,9.029397408555992
16,19,0.7944371334638611,8.913120292377194
17,19,0.7446547051891659,8.629337779859855
18,19,0.8368372545153584,9.147880926834139
19,19,0.8576727849639367,9.261062492845713
20,19,0.8429570539743224,9.181269269411079
21,19,0.8052905006671588,8.973797973361997
22,19,0.78298767934192,8.848659103739504
23,19,0.7876830101472335,8.87515076011238
24,19,0.9677196007134702,9.837274016278444
25,19,0.9570083773138488,9.782680498277804
26,19,0.9859140075840596,9.929320256614043
27,19,1.0,10.0
28,19,0.9945710237563564,9.97281817620454
29,19,1.0,10.0
30,19,0.9421887394595784,9.70664071375663
31,19,0.946737341177226,9.730042863097912
32,19,0.9049195511924032,9.512725956277745
33,19,1.0,10.0
34,19,1.0,10.0
35,19,,
36,19,,
37,19,,
0,20,,
1,20,,
2,20,,
3,20,,
4,20,0.5917048827783956,7.6922355838754415
5,20,0.812868184282839,9.01592027628261
6,20,0.9871797233325352,9.935691839688545
7,20,0.9770611427153504,9.884640320797466
8,20,0.817435737195688,9.041215278908517
9,20,0.8452454255544016,9.19372299753697
10,20,0.8323790793210245,9.123481130144482
11,20,0.9649943479979046,9.82341258421891
12,20,1.0,10.0
13,20,0.7173644753080735,8.469737158307058
14,20,0.8991278455303232,9.482235208695908
15,20,0.9111854500004596,9.54560343823511
16,20,0.8626609442060086,9.287954264562291
17,20,0.9097150104309308,9.537898145980229
18,20,0.9797079339405024,9.898019670320434
19,20,0.942946944702282,9.71054552897149
20,20,0.948129455322441,9.737193924958262
21,20,1.0,10.0
22,20,0.95765134039757,9.785966178142912
23,20,0.9355947468546378,9.672614676780203
24,20,0.9658858019869314,9.827948931424762
25,20,0.9944123296357904,9.972022511184932
26,20,0.8756008124178621,9.357354393298685
27,20,0.9605076534841313,9.80054923707917
28,20,1.0,10.0
29,20,1.0,10.0
30,20,0.9873542197020522,9.93656992982011
31,20,0.9858837801325232,9.9291680423514
32,20,0.9879423955298636,9.939529141412402
33,20,0.9435351205300936,9.713573598475968
34,20,1.0,10.0
35,20,,
36,20,,
37,20,,
0,21,,
1,21,,
2,21,,
3,21,,
4,21,0.5443740858090046,7.378171086448217
5,21,0.921449499974781,9.599216113697935
6,21,0.8438898640762423,9.186347827489673
7,21,0.944242946686903,9.717216405364773
8,21,0.723709127924838,8.507109543933462
9,21,0.7615652325426775,8.726770493960968
10,21,0.6333240099225546,7.958165680120983
11,21,0.9822457803924086,9.910831349550898
12,21,0.9530466919468658,9.762411033893553
13,21,0.9758847910597274,9.8786881267693
14,21,0.9165570019579162,9.57369835517036
15,21,0.9019391165991866,9.497047523305264
16,21,0.9577420227521792,9.786429495746543
17,21,0.9404279904075858,9.697566655649167
18,21,0.9609700626808322,9.802908051597914
19,21,0.950552297456543,9.749627159315084
20,21,0.9178024280633392,9.580200561905471
21,21,0.93397191055028,9.664222216765713
22,21,0.8952354314064441,9.461688176041546
23,21,0.9972121473343452,9.986051007952769
24,21,0.9765233459734328,9.881919580594818
25,21,0.9765233459734328,9.881919580594818
26,21,1.0,10.0
27,21,0.9811783735100312,9.905444833575276
28,21,1.0,10.0
29,21,0.9859140075840596,9.929320256614043
30,21,0.9436560303362388,9.71419595404704
31,21,0.9906093383893732,9.952935940662801
32,21,0.8359568799893622,9.143067756444562
33,21,0.6494642095658194,8.05893423205463
34,21,,
35,21,,
36,21,,
37,21,,
0,22,,
1,22,,
2,22,,
3,22,,
4,22,0.7594789283274259,8.714808823648548
5,22,0.8701951955394357,9.328425352327345
6,22,0.8915780573655238,9.442341115240032
7,22,0.8425596889343342,9.179105015927938
8,22,0.9625840826451586,9.811136950655406
9,22,0.8675036338375617,9.313987512540274
10,22,0.9530466919468658,9.762411033893553
11,22,0.9530466919468658,9.762411033893553
12,22,0.9170980654686848,9.576523719328872
13,22,0.8769242080304381,9.364423143100904
14,22,0.9801457203251884,9.90023090804042
15,22,0.8539036815245152,9.240690891510846
16,22,0.9436560303362388,9.71419595404704
17,22,1.0,10.0
18,22,0.8967027222831047,9.469438854985572
19,22,1.0,10.0
20,22,0.9858837801325232,9.9291680423514
21,22,0.9031588021404106,9.503466747142385
22,22,0.9759364296227688,9.878949486776257
23,22,0.8859914988834834,9.412712143072705
24,22,1.0,10.0
25,22,0.9765233459734328,9.881919580594818
26,22,0.9765233459734328,9.881919580594818
27,22,1.0,10.0
28,22,1.0,10.0
29,22,1.0,10.0
30,22,1.0,10.0
31,22,1.0,10.0
32,22,1.0,10.0
33,22,0.9728551187817818,9.86334182101473
34,22,,
35,22,,
36,22,,
37,22,,
0,23,,
1,23,,
2,23,,
3,23,,
4,23,0.2817015071828473,5.307556002369144
5,23,0.6283627326458464,7.926933408612983
6,23,0.8507503836928252,9.223613086490701
7,23,0.9551008991741904,9.772926374296445
8,23,0.9059466548060654,9.518123001968746
9,23,0.8667699883992315,9.310048272695644
10,23,0.9038924475787408,9.507325846833803
11,23,0.8173222858557745,9.040587845133603
12,23,0.9787242822884236,9.89304949087198
13,23,0.7942855042229187,8.912269656057981
14,23,1.0,10.0
15,23,0.7313390404834723,8.55183629686322
16,23,0.7119708009115544,8.437836220925092
17,23,0.5864303105612846,7.657873794737575
18,23,0.7173401684633338,8.469593664771255
19,23,0.9612635208561642,9.804404728774532
20,23,0.9589241896499436,9.792467460502198
21,23,0.9746663059576596,9.872518958997544
22,23,0.9728551187817818,9.86334182101473
23,23,1.0,10.0
24,23,0.9887018602497144,9.943348833515369
25,23,0.9925168165290316,9.962513821967985
26,23,0.9775504495870952,9.887115097879134
27,23,0.9869130878311936,9.934349942654494
28,23,1.0,10.0
29,23,1.0,10.0
30,23,1.0,10.0
31,23,1.0,10.0
32,23,1.0,10.0
33,23,0.8609008248925897,9.278474146607241
34,23,,
35,23,,
36,23,,
37,23,,
0,24,,
1,24,,
2,24,,
3,24,,
4,24,,
5,24,0.8154239782840951,9.030082935854438
6,24,0.8761889882456737,9.360496718901587
7,24,0.8849643952698211,9.40725462220419
8,24,0.9022784276144143,9.498833757964261
9,24,0.7851152511130777,8.860672949122305
10,24,0.7047077110720853,8.394687076193403
11,24,0.99295700379203,9.964722794900167
12,24,0.8908518999124211,9.438495112635389
13,24,0.8012333311889422,8.95116378572609
14,24,0.9318626799150804,9.653303475572912
15,24,0.7602630118896414,8.719306233236916
16,24,0.987362957324762,9.936613896719354
17,24,0.859520654411731,9.271033677059592
18,24,0.8480482738698422,9.208953653210783
19,24,0.7734502886436272,8.794602257314581
