col_s,row_s,proportion_lichen
16,11,1.0
17,11,0.8380110872166867
18,11,0.9236183393018447
19,11,0.904121711778219
20,11,0.8163420977658509
21,11,0.9506623442722925
22,11,0.6415775211037695
23,11,0.9731485769571139
24,11,0.9885551311620485
25,11,0.8358926860135083
26,11,0.9472417224160778
27,11,0.9011680804330444
28,11,0.33365736006859587
29,11,
30,11,
31,11,
32,11,
33,11,
34,11,
35,11,
36,11,
37,11,
0,12,
1,12,0.7207699608875275
2,12,0.8104489451554182
3,12,0.9483513611415523
4,12,0.9718280151681195
5,12,0.9815809142139218
6,12,0.8658867210116624
7,12,0.6973850125407517
8,12,0.7927726753756494
9,12,0.8032821462797298
10,12,0.7407342873780888
11,12,0.896551407911449
12,12,0.9118158183127072
13,12,0.8066371966069606
14,12,0.9314775160599572
15,12,0.7892970301115599
16,12,0.9678663298011362
17,12,0.9553943573495225
18,12,0.762968329443484
19,12,0.9202435702855256
20,12,0.879423955298637
21,12,0.9903342213499993
22,12,0.8376992879053964
23,12,0.9674261425381381
24,12,0.9879682148113843
25,12,0.9533126384182604
26,12,0.8846984487984263
27,12,1.0
28,12,0.9179325871547854
29,12,0.5920426981645108
30,12,0.8780176900256318
31,12,0.7739867668704061
32,12,0.7120670918753353
33,12,0.8520512267927314
34,12,0.9285228515499352
35,12,0.888582184337587
36,12,
37,12,
0,13,
1,13,
2,13,0.8087509534881584
3,13,0.9976472966887538
4,13,0.8414866144047937
5,13,0.8445929179954232
6,13,0.8392123634622115
7,13,0.9291248127487111
8,13,0.9828418082730607
9,13,0.7313047394105375
10,13,0.8736892409774747
11,13,0.7307625148192738
12,13,0.928775583350948
13,13,0.8817255797675404
14,13,0.9822076812087013
15,13,0.7991379548023637
16,13,1.0
17,13,0.9658858019869314
18,13,0.9182067989449596
19,13,0.8944591998970692
20,13,0.8726813903369006
21,13,0.9724843995551921
22,13,0.9882548639383886
23,13,0.8845704937919879
24,13,0.9529459337750779
25,13,0.9353925614138277
26,13,0.8343366019979598
27,13,1.0
28,13,1.0
29,13,0.8258999549677882
30,13,1.0
31,13,0.968973725082942
32,13,0.9672091975995074
33,13,0.9744143514901986
34,13,0.9432665917589198
35,13,0.8933931312091609
36,13,0.7444376028158918
37,13,
0,14,
1,14,
2,14,0.6720054656585156
3,14,0.9286896633943024
4,14,0.6477034605138269
5,14,0.8098207612488479
6,14,0.7879809945685639
7,14,0.8239250948007465
8,14,0.9187900352608339
9,14,0.6285507292894186
10,14,0.7577502762633603
11,14,0.8899531842504665
12,14,0.7230305058943826
13,14,0.7310014612493222
14,14,0.8132138714011252
15,14,0.8391849199180151
16,14,0.9718280151681195
17,14,0.9050662802800692
18,14,0.9109721260586274
19,14,0.9179417577227645
20,14,0.875894900331768
21,14,0.9577420227521791
22,14,0.9768168041487649
23,14,0.8767475663605225
24,14,0.9718280151681195
25,14,0.9806317604280821
26,14,0.9812186767787463
27,14,0.9821663250958084
28,14,0.9946122913122625
29,14,0.9055064675430673
30,14,1.0
31,14,1.0
32,14,0.9906093383893732
33,14,1.0
34,14,1.0
35,14,0.9680130588888023
36,14,0.6136623121753045
37,14,
0,15,
1,15,
2,15,
3,15,0.8117465805244648
4,15,0.860992530572381
5,15,0.9189138379285521
6,15,0.45284943617832757
7,15,0.5978155707073718
8,15,0.5132124958159283
9,15,0.82988137870319
10,15,0.8287029607178721
11,15,0.9924342814172196
12,15,0.9624373535574926
13,15,0.95765134039757
14,15,0.884670937094489
15,15,0.6771960071347018
16,15,0.8931812241791195
17,15,0.9388139704432594
18,15,0.9502588392812109
19,15,0.9386672413555933
20,15,0.9454191212285522
21,15,0.9994405953532732
22,15,0.9829794258307388
23,15,0.8406522107946756
24,15,0.967132684362806
25,15,0.9996882006887097
26,15,0.9997248829606261
27,15,0.8998400896968137
28,15,0.9904855357216549
29,15,1.0
30,15,0.9859140075840597
31,15,1.0
32,15,1.0
33,15,1.0
34,15,1.0
35,15,0.9815121349540784
36,15,0.707128741018575
37,15,
0,16,
1,16,
2,16,
3,16,0.7710292586971375
