col_s,row_s,proportion_lichen,sqrt_proportion_lichen
6,34,0.2293793825991857,4.789356768911517
9,31,0.2318319585123504,4.814893129783364
6,35,0.2463353888853149,4.96321860172726
1,6,0.2715534275027341,5.211078847059734
4,23,0.2817015071828473,5.307556002369144
28,11,0.3336573600685958,5.776308164118287
8,7,0.3619714887041529,6.016406641045408
22,32,0.3662999967903012,6.052272274033127
11,6,0.3771953203260699,6.1416229152079165
8,16,0.3807436413574275,6.170442782794663
10,31,0.3787811398098941,6.154519801007176
5,32,0.4043028304958067,6.358481190471563
10,33,0.4166260764077161,6.454657825227578
1,5,0.4272430062955949,6.536382839886255
6,29,0.4269834851255847,6.534397333538761
24,39,0.4348133101623649,6.594037535246254
10,30,0.4480831220281628,6.693901119886391
14,30,0.4404669653214972,6.636768530855187
14,37,0.444043486833357,6.663658806041595
6,15,0.4528494361783275,6.729408860950028
12,32,0.4558460078224944,6.751636896505131
2,2,0.473682762541898,6.882461496745899
8,5,0.4791988591813434,6.922419079926781
17,10,0.4830734241525249,6.950348366467144
1,7,0.494742971905965,7.033796783430447
10,25,0.4931564636455759,7.02250997610951
8,15,0.5132124958159283,7.163885089921029
8,30,0.5123321212899321,7.157737919831461
11,31,0.5054725364415446,7.109659179183939
6,36,0.5128617511097223,7.161436665290857
5,6,0.531729328836239,7.291977295879623
11,7,0.5309896418434675,7.286903607455416
8,8,0.5284814915011761,7.269673249198867
4,16,0.5217181976165693,7.223006282819982
1,4,0.5391147650729748,7.342443497044937
4,21,0.5443740858090046,7.378171086448217
11,33,0.5355938278299069,7.318427616844392
15,37,0.5449701727276479,7.382209511573401
4,8,0.5596384962102627,7.480898984816348
8,17,0.5545992691057321,7.447142197552911
1,8,0.5667594422460555,7.528342727626416
15,27,0.5670566394941687,7.530316324658405
5,33,0.5644971556184577,7.513302573558832
9,34,0.5636276932811833,7.50751419100346
6,37,0.5646120337098272,7.514067032638365
9,33,0.5894532721875546,7.677586028092128
5,7,0.5921298185603125,7.694997196622703
4,20,0.5917048827783956,7.6922355838754415
3,2,0.5880489158096006,7.668434754300258
7,26,0.5875720462746861,7.665324822045613
2,6,0.6080635229894037,7.797842797783267
7,15,0.5978155707073718,7.731853404633147
16,62,0.6013691657992838,7.754799583479149
9,19,0.6037718546098153,7.770275764796351
26,39,0.5932669689897244,7.702382546911861
36,14,0.6136623121753045,7.833660141819433
