col_s,row_s,proportion_lichen
14,10,0.5752192912068009
15,10,0.4637602079884818
16,10,0.6137540178550959
17,10,0.3548322015324019
18,10,0.6663380546474146
19,10,0.9762298877981008
20,10,0.6574748876492267
21,10,0.9848364658465122
22,10,0.8883024820142236
23,10,0.9084410492963881
24,10,0.3739207387809564
25,10,0.3719949195053396
26,10,
27,10,
28,10,
29,10,
30,10,
31,10,
32,10,
33,10,
34,10,
35,10,
36,10,
37,10,
0,11,
1,11,0.7210542484948805
2,11,0.874376974537918
3,11,0.891420475127127
4,11,0.80895872785881
5,11,0.8056619086703135
6,11,0.777237595463694
7,11,0.7032266643434562
8,11,1.0
9,11,0.9815121349540784
10,11,0.7982245780392409
11,11,0.7684844260829294
12,11,0.9385205122679273
13,11,1.0
14,11,0.7791727230626029
15,11,0.5342268523400997
16,11,0.9965335253038897
17,11,0.8402120235316775
18,11,0.9032229961162644
19,11,0.8828459940666425
20,11,0.7182637784782788
21,11,0.8855421410525061
22,11,0.5408938552609256
23,11,0.9016915112637501
24,11,0.8770226833998964
25,11,0.511639743407508
26,11,0.8323390909215962
27,11,0.5110696528843591
28,11,0.03022619205920519
29,11,
30,11,
31,11,
32,11,
33,11,
34,11,
35,11,
36,11,
37,11,
0,12,
1,12,0.4978793061548267
2,12,0.8132459683890522
3,12,0.9140167546276978
4,12,1.0
5,12,0.9909715758245486
6,12,0.8525057209289502
7,12,0.6846195819138058
8,12,0.7764857466447185
9,12,0.7754036196231814
10,12,0.6981828519549358
11,12,0.899926176927768
12,12,0.8943550568804479
13,12,0.7439964709450332
14,12,0.9282494761313042
15,12,0.7537885908963772
16,12,0.9859140075840597
17,12,0.9379335959172631
18,12,0.7443337353098964
19,12,0.9264061919674995
20,12,0.7872273942891803
21,12,0.9435001306805937
22,12,0.8095548147774533
23,12,0.9661055807491437
24,12,0.9524597755962015
25,12,0.8916864215985217
26,12,0.710902429741986
27,12,0.7778901030226724
28,12,0.34053070076895214
29,12,0.06866921302770887
30,12,0.44312184475145466
31,12,0.20233024132349636
32,12,0.17388313945224199
33,12,0.14347353603345422
34,12,0.012673351039876483
35,12,0.004401872629981338
36,12,
37,12,
0,13,
1,13,
2,13,0.8246225105917601
3,13,0.9967650329470366
4,13,0.82854674619294
5,13,0.8769425885250572
6,13,0.8167216194809261
7,13,0.925099484427126
8,13,0.9876942588525057
9,13,0.7264522888310925
10,13,0.8506033397358723
11,13,0.686097912894836
12,13,0.9257979432226521
13,13,0.877157435207869
14,13,0.9854426482616647
15,13,0.8320758011598092
16,13,1.0
17,13,0.9670621536425545
18,13,0.9061491944748233
19,13,0.9071049801950171
20,13,0.7748346810587781
21,13,0.9624854104823961
22,13,0.9835494573158964
23,13,0.8139893944546047
24,13,0.9153026807951402
25,13,0.8077951677679647
26,13,0.7671834649070407
27,13,0.7271362522794673
28,13,0.7938811333412982
29,13,0.31167804725625164
30,13,0.9445552379814541
31,13,0.7114997564584463
32,13,0.7670639916920164
33,13,0.8125373353796951
34,13,0.447466337563779
35,13,0.3644300668130979
36,13,0.21403166959222872
37,13,
0,14,
1,14,
2,14,0.5893969893025325
3,14,0.8582597013146009
4,14,0.5876912636584147
5,14,0.8151030084048255
6,14,0.8032184246078062
7,14,0.806519356776362
8,14,0.9168825571211753
9,14,0.5928955609865697
10,14,0.7000857448106048
11,14,0.8783249040529325
12,14,0.6510232061222712
13,14,0.6739484059516042
14,14,0.7149053826648754
15,14,0.8135073295764573
16,14,0.9906093383893732
17,14,0.9009578658254199
18,14,0.8891094919963868
19,14,0.9483146788696358
20,14,0.8611905046364797
21,14,0.9812186767787463
22,14,0.9715024600048604
23,14,0.809431012109735
24,14,0.9577420227521791
25,14,0.9098716579011321
26,14,0.962180577654077
27,14,0.801467682495336
28,14,0.8491854242992539
29,14,0.7801998266762652
30,14,0.8698512992402184
31,14,0.8446138961616587
32,14,0.9203261053973378
33,14,0.8224578039240861
34,14,0.9238312302984073
35,14,0.5756869901737364
36,14,0.11989142047512713
37,14,
0,15,
1,15,
2,15,
3,15,0.7009661193366011
4,15,0.9141084603074892
5,15,0.9189138379285521
6,15,0.45843710654253705
7,15,0.585343598255758
8,15,0.5126255794652642
9,15,0.8113935136572684
10,15,0.7943683542040176
11,15,0.9867118469982439
12,15,0.9718280151681195
13,15,0.9294189006626168
14,15,0.87498681730853
15,15,0.6747016126443791
16,15,0.8990503876857613
17,15,0.9470307993525579
18,15,0.9621438953821605
19,15,0.9317709742352893
20,15,0.9637996158476625
21,15,0.99547890998629
22,15,0.9822778773803356
23,15,0.8200780415335024
24,15,0.9718280151681195
25,15,0.9856022082727693
26,15,0.9997248829606261
27,15,0.8451397377103418
